索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
161,こめ［うるち米製品］焼きおにぎり,166,3.1,0.3,39.5,1
162,こめ［うるち米製品］きりたんぽ,200,3.2,0.4,46.2,0
163,こめ［うるち米製品］上新粉,343,6.2,0.9,78.5,0
164,こめ［うるち米製品］玄米粉,370,7.1,2.9,84.1,0
165,こめ［うるち米製品］米粉,356,6,0.7,81.9,0
166,こめ［うるち米製品］米粉パン食パン,247,-10.7,-5.1,-41.6,-1.1
167,こめ［うるち米製品］米粉パンロールパン,256,-8.8,-6.7,-42,-0.9
168,こめ［うるち米製品］米粉パン小麦グルテン不使用のもの,247,3.4,3.1,51.3,0.9
169,こめ［うるち米製品］米粉めん,252,3.6,0.7,58.4,0.1
170,こめ［うるち米製品］ビーフン,360,7,1.6,79.9,0
171,こめ［うるち米製品］ライスペーパー,339,0.5,0.3,84.3,1.7
172,こめ［うるち米製品］米こうじ,260,5.8,1.7,59.2,0
173,こめ［もち米製品］もち,223,4,0.6,50.8,0
174,こめ［もち米製品］赤飯,186,4.3,0.6,41.9,0
175,こめ［もち米製品］あくまき,131,2.3,1.8,25.7,0
176,こめ［もち米製品］白玉粉,347,6.3,1,80,0
177,こめ［もち米製品］道明寺粉,349,7.1,0.7,80.4,0
178,こめ［その他］米ぬか,374,13.4,19.6,48.8,0
179,そばそば粉全層粉,339,12,3.1,69.6,0
180,そばそば粉内層粉,342,6,1.6,77.6,0
181,そばそば粉中層粉,334,10.2,2.7,71.6,0
182,そばそば粉表層粉,337,15,3.6,65.1,0
183,そばそば米,347,9.6,2.5,73.7,0
184,そばそば生,271,9.8,1.9,54.5,0
185,そばそばゆで,130,4.8,1,26,0
186,そばそば半生そば,325,-10.5,-3.8,-61.8,0
187,そば干しそば乾,344,14,2.3,66.7,2.2
188,そば干しそばゆで,113,4.8,0.7,22.1,0.1
189,とうもろこし玄穀黄色種,341,8.6,5,70.6,0
190,とうもろこし玄穀白色種,341,8.6,5,70.6,0
191,とうもろこしコーンミール黄色種,375,8.3,4,72.4,0
192,とうもろこしコーンミール白色種,375,8.3,4,72.4,0
193,とうもろこしコーングリッツ黄色種,352,8.2,1,76.4,0
194,とうもろこしコーングリッツ白色種,352,8.2,1,76.4,0
195,とうもろこしコーンフラワー黄色種,347,6.6,2.8,76.1,0
196,とうもろこしコーンフラワー白色種,347,6.6,2.8,76.1,0
197,とうもろこしジャイアントコーンフライ味付け,409,5.7,11.8,76.6,1.1
198,とうもろこしポップコーン,472,10.2,22.8,59.6,1.4
199,とうもろこしコーンフレーク,380,7.8,1.7,83.6,2.1
200,はとむぎ精白粒,353,13.3,1.3,72.2,0
201,ひえ精白粒,361,9.4,3.3,73.2,0
202,もろこし玄穀,344,10.3,4.7,71.1,0
203,もろこし精白粒,348,9.5,2.6,74.1,0
204,ライむぎ全粒粉,317,12.7,2.7,70.7,0
205,ライむぎライ麦粉,324,8.5,1.6,75.8,0
206,＜いも類＞アメリカほどいも塊根生,146,5.9,0.6,35.6,0
207,＜いも類＞アメリカほどいも塊根ゆで,144,6,0.8,34.5,0
208,＜いも類＞きくいも塊茎生,66,1.9,0.4,14.7,0
209,＜いも類＞きくいも塊茎水煮,51,1.6,0.5,11.3,0
210,＜いも類＞こんにゃく精粉,194,3,0.1,85.3,0
211,＜いも類＞こんにゃく板こんにゃく精粉こんにゃく,5,0.1,0,2.3,0
212,＜いも類＞こんにゃく板こんにゃく生いもこんにゃく,8,0.1,0.1,3.3,0
213,＜いも類＞こんにゃく赤こんにゃく,6,0.1,0,2.5,0
214,＜いも類＞こんにゃく凍みこんにゃく乾,192,3.3,1.4,77.1,0.1
215,＜いも類＞こんにゃく凍みこんにゃくゆで,42,0.7,0.3,16.8,0
216,＜いも類＞こんにゃくしらたき,7,0.2,0,3,0
217,＜いも類＞（さつまいも類）さつまいも塊根皮つき生,127,0.9,0.5,33.1,0.1
218,＜いも類＞（さつまいも類）さつまいも塊根皮つき蒸し,129,0.9,0.2,33.7,0.1
219,＜いも類＞（さつまいも類）さつまいも塊根皮つき天ぷら,205,1.4,6.8,38.4,0.1
220,＜いも類＞（さつまいも類）さつまいも塊根皮なし生,126,1.2,0.2,31.9,0
221,＜いも類＞（さつまいも類）さつまいも塊根皮なし蒸し,131,1.2,0.2,31.9,0
